country,year,suicides_no,population,suicides_calc,gdp,gdp_per_capita
Albania,1992,47,2822500,1.6651904340124004,"709,452,584",251
Albania,1993,73,2807300,2.6003633384390694,"1,228,071,038",437
Albania,1994,50,2849300,1.7548169725897589,"1,985,673,798",697
Albania,1995,88,2903400,3.03092925535579,"2,424,499,009",835
Albania,1996,89,2940200,3.027004965648595,"3,314,898,292",1127
Albania,1997,170,2977300,5.709871359957008,"2,359,903,108",793
Albania,1998,154,3012700,5.111693829455306,"2,707,123,772",899
Albania,1999,139,3029700,4.587912994685943,"3,414,760,915",1127
Albania,2000,54,2796300,1.931123270035404,"3,632,043,908",1299
Albania,2001,119,2799349,4.250988354792489,"4,060,758,804",1451
Albania,2002,133,2818839,4.718254572183796,"4,435,078,648",1573
Albania,2003,124,2843929,4.360165109607166,"5,746,945,913",2021
Albania,2004,146,2874991,5.078276766779444,"7,314,865,176",2544
Albania,2005,0,2783320,0.0,"8,158,548,717",2931
Albania,2006,0,2780176,0.0,"8,992,642,349",3235
Albania,2007,124,2770344,4.47597843444713,"10,701,011,897",3863
Albania,2008,160,2757059,5.803285312356391,"12,881,352,688",4672
Albania,2009,0,2745735,0.0,"12,044,212,904",4387
Albania,2010,96,2736025,3.5087398689704954,"11,926,953,259",4359
Antigua and Barbuda,1991,0,60394,0.0,"481,706,333",7976
Antigua and Barbuda,1992,0,61741,0.0,"499,281,148",8087
Antigua and Barbuda,1993,1,63315,1.5794045644791914,"535,172,778",8453
Antigua and Barbuda,1994,0,65044,0.0,"589,429,593",9062
Antigua and Barbuda,1995,0,66846,0.0,"577,280,741",8636
Antigua and Barbuda,1998,0,72225,0.0,"727,860,593",10078
Antigua and Barbuda,1999,0,73832,0.0,"766,198,926",10378
Antigua and Barbuda,2000,2,75326,2.6551257202028515,"830,158,778",11021
Antigua and Barbuda,2001,2,76497,2.614481613658052,"800,740,259",10468
Antigua and Barbuda,2002,0,77588,0.0,"814,615,333",10499
Antigua and Barbuda,2003,1,78658,1.2713265020722622,"855,643,111",10878
Antigua and Barbuda,2004,2,79722,2.508717794335315,"919,577,148",11535
Antigua and Barbuda,2005,0,80809,0.0,"1,022,191,296",12649
Antigua and Barbuda,2006,0,81973,0.0,"1,157,005,444",14114
Antigua and Barbuda,2007,1,83131,1.2029206914388135,"1,311,401,333",15775
Antigua and Barbuda,2008,0,84273,0.0,"1,368,431,037",16238
Antigua and Barbuda,2009,0,85405,0.0,"1,224,253,000",14335
Argentina,1991,1951,29623000,6.586098639570604,"189,719,984,268",6404
Argentina,1992,2184,30045400,7.26899958063464,"228,788,617,202",7615
Argentina,1993,2230,30477500,7.3168731031088505,"236,741,715,015",7768
Argentina,1994,2241,30911200,7.249799425450969,"257,440,000,000",8328
Argentina,1995,2204,31345400,7.031334741301754,"258,031,750,000",8232
Argentina,1996,2229,31780700,7.013690699072078,"272,149,750,000",8563
Argentina,1997,2184,32333781,6.754545656135916,"292,859,000,000",9057
Argentina,1998,2347,32757259,7.164824138674118,"298,948,250,000",9126
Argentina,1999,2423,33174862,7.303722921289017,"283,523,000,000",8546
Argentina,2000,2774,33585533,8.259508640223158,"284,203,750,000",8462
Argentina,2001,3132,34010946,9.208800013971972,"268,696,750,000",7900
Argentina,2002,3162,34407507,9.18985499298162,"97,724,004,252",2840
Argentina,2003,3289,34785907,9.454978419852614,"127,586,973,492",3668
Argentina,2004,3121,35162945,8.87582083923858,"164,657,930,453",4683
Argentina,2005,3058,35550617,8.601819765884795,"198,737,095,012",5590
Argentina,2006,3108,35918886,8.652829600561665,"232,557,260,817",6475
Argentina,2007,2946,36315492,8.112240362873234,"287,530,508,431",7918
Argentina,2008,3059,36733520,8.327543889069167,"361,558,037,110",9843
Argentina,2009,2884,37158001,7.761450891828115,"332,976,484,578",8961
Argentina,2010,2943,37578454,7.831615425158257,"423,627,422,092",11273
Armenia,1991,80,3230800,2.476166893648632,"2,068,526,522",640
Armenia,1992,83,3308700,2.508538096533382,"1,272,577,456",385
Armenia,1993,106,3366600,3.148577199548506,"1,201,313,201",357
Armenia,1994,112,3402500,3.2916972814107273,"1,315,158,670",387
Armenia,1995,130,3443200,3.775557620817844,"1,468,317,350",426
Armenia,1996,87,3486300,2.4954823164959987,"1,596,968,913",458
Armenia,1997,77,3526700,2.1833442027958148,"1,639,492,424",465
Armenia,1998,66,3558000,1.854974704890388,"1,893,726,437",532
Armenia,1999,67,3580700,1.871142514033569,"1,845,482,181",515
Armenia,2000,61,3606500,1.6913905448495772,"1,911,563,665",530
Armenia,2001,60,3610516,1.6618123282101507,"2,118,467,913",587
Armenia,2002,74,3014844,2.454521693328079,"2,376,335,048",788
Armenia,2003,59,3024366,1.9508220896544928,"2,807,061,009",928
Armenia,2006,78,2764396,2.8215928542799222,"6,384,451,606",2310
Armenia,2007,71,2735313,2.595681006159076,"9,206,301,700",3366
Armenia,2008,63,3045391,2.0686998812303576,"11,662,040,714",3829
Armenia,2009,53,2689695,1.9704836421973495,"8,647,936,748",3215
Armenia,2010,73,2676225,2.7277228185223588,"9,260,284,938",3460
Aruba,1995,8,73581,10.872371943844199,"1,320,670,391",17949
Aruba,1999,9,81934,10.984450899504479,"1,722,798,883",21027
Aruba,2000,10,83888,11.920656112912456,"1,873,452,514",22333
Aruba,2001,4,86045,4.64873031553257,"1,920,262,570",22317
Aruba,2002,9,88284,10.19437270626614,"1,941,094,972",21987
Aruba,2003,2,90457,2.2109952795250782,"2,021,301,676",22345
Aruba,2004,8,92335,8.664103536037256,"2,228,279,330",24133
Aruba,2005,10,93728,10.669170365312393,"2,331,005,587",24870
Aruba,2006,9,94508,9.523003343632285,"2,421,474,860",25622
Aruba,2007,8,94814,8.437572510388762,"2,623,726,257",27672
Aruba,2008,4,94814,4.218786255194381,"2,791,960,894",29447
Aruba,2009,4,94795,4.219631837122211,"2,498,932,961",26361
Aruba,2010,7,95006,7.367955708060544,"2,467,703,911",25974
Australia,1991,2288,16012100,14.289193797190874,"325,358,292,128",20320
Australia,1992,2251,16203500,13.892060357330207,"324,878,105,053",20050
Australia,1993,2038,16370000,12.449602932193036,"311,528,948,848",19030
Australia,1994,2283,16549400,13.795062056630451,"322,201,314,424",19469
Australia,1995,2170,16766300,12.942628964052892,"367,216,364,716",21902
Australia,1996,2426,17015100,14.257923844114933,"400,302,731,411",23526
Australia,1997,2646,17221300,15.364693722309001,"434,568,007,513",25234
Australia,1998,2632,17421730,15.107569684526164,"398,899,138,574",22897
Australia,1999,2488,17641702,14.10294766343973,"388,395,162,301",22016
Australia,2000,2391,17874410,13.37666529972178,"415,034,227,218",23219
Australia,2001,2458,18130883,13.556978995452125,"378,215,090,694",20860
Australia,2002,2319,18370058,12.62380336523706,"394,486,709,920",21474
Australia,2003,2156,18608029,11.586396388354725,"466,294,700,058",25059
Australia,2004,2114,18854551,11.212147136253735,"611,904,253,806",32454
Australia,2006,2117,19109246,11.078406756603583,"745,521,862,833",39014
Australia,2007,2229,19734430,11.294980397204277,"851,962,785,585",43171
Australia,2008,2341,20120312,11.635008443209031,"1,052,584,601,611",52315
Australia,2009,2337,20529317,11.383720169550697,"926,448,240,318",45128
Australia,2010,2420,20847547,11.608080317554867,"1,144,260,547,873",54887
Austria,1991,1769,7299728,24.233779669598647,"173,794,177,725",23808
Austria,1992,1759,7375368,23.849657400146,"195,078,126,346",26450
Austria,1993,1704,7433569,22.92304006325898,"190,379,720,927",25611
Austria,1994,1776,7462552,23.79882914048706,"203,535,242,742",27274
Austria,1995,1788,7477030,23.91323827776537,"241,038,283,063",32237
Austria,1996,1779,7493706,23.739922542998084,"237,250,948,791",31660
Austria,1997,1592,7512589,21.19109670447831,"212,790,348,405",28325
Austria,1998,1559,7533519,20.694180236354352,"218,259,904,402",28972
Austria,1999,1555,7561609,20.56440633203859,"217,185,787,343",28722
Austria,2000,1588,7592073,20.91655335769295,"196,799,778,883",25922
Austria,2001,1489,7634560,19.503416044932518,"197,337,879,195",25848
Austria,2002,1553,7683162,20.213032082364006,"213,377,771,504",27772
Austria,2003,1456,7722033,18.85513827770485,"261,695,778,781",33889
Austria,2004,1422,7773105,18.293847825289895,"300,904,221,505",38711
Austria,2005,1399,7827461,17.872973113503857,"315,974,418,605",40367
Austria,2006,1297,7869269,16.481835860484626,"335,998,557,270",42698
Austria,2007,1285,7897272,16.271441581346064,"388,691,445,387",49218
Austria,2008,1267,7925258,15.986861247924042,"430,294,287,388",54294
Austria,2009,1278,7946894,16.081754708191653,"400,172,297,861",50356
Austria,2010,1264,7968421,15.862615692619654,"391,892,746,545",49181
Azerbaijan,1991,134,6290600,2.130162464629765,"8,792,365,811",1398
Azerbaijan,1992,144,6370400,2.2604546025367322,"4,991,350,458",784
Azerbaijan,1993,119,6442600,1.8470803712786763,"3,973,027,397",617
Azerbaijan,1994,47,6521200,0.7207262467030607,"3,313,739,674",508
Azerbaijan,1995,49,6605900,0.7417611529087634,"3,052,467,522",462
Azerbaijan,1996,69,6668100,1.034777522832591,"3,176,749,593",476
Azerbaijan,1997,107,6711200,1.5943497437120038,"3,962,710,163",590
Azerbaijan,1998,56,7044400,0.7949576968939868,"4,446,396,218",631
Azerbaijan,1999,54,7106400,0.7598784194528876,"4,581,222,442",645
Azerbaijan,2000,62,7415250,0.8361147634941506,"5,272,617,196",711
Azerbaijan,2001,317,7518000,4.216546953977121,"5,707,720,391",759
Azerbaijan,2002,92,7605700,1.2096191014633761,"6,235,795,104",820
Azerbaijan,2003,129,7674400,1.680913165850099,"7,276,013,032",948
Azerbaijan,2004,108,7738250,1.3956643944044196,"8,680,472,169",1122
Azerbaijan,2007,55,7921100,0.6943480072212193,"33,050,343,783",4172
Bahamas,1993,7,243500,2.8747433264887063,"3,092,000,000",12698
Bahamas,1994,3,249300,1.203369434416366,"3,259,000,000",13073
Bahamas,1995,2,254500,0.7858546168958742,"3,429,000,000",13473
Bahamas,1996,3,252438,1.188410619637297,"3,609,000,000",14297
Bahamas,1997,2,255956,0.7813843004266359,"6,332,360,000",24740
Bahamas,1998,3,260125,1.1532916866890919,"6,833,220,000",26269
Bahamas,1999,6,264791,2.2659380417008133,"7,683,870,000",29019
Bahamas,2000,11,269738,4.078031274792576,"8,076,470,000",29942
Bahamas,2001,1,276140,0.36213514883754616,"8,317,830,000",30122
Bahamas,2002,3,282555,1.0617401921749747,"8,881,160,000",31432
Bahamas,2003,1,288888,0.34615491124588077,"8,870,090,000",30704
Bahamas,2004,2,295237,0.6774218678553162,"9,055,290,000",30671
Bahamas,2005,4,301763,1.325543555704311,"9,836,200,000",32596
Bahamas,2006,2,308499,0.6483003186396066,"10,167,250,000",32957
Bahamas,2007,5,314989,1.58735701881653,"10,618,340,000",33710
Bahamas,2008,4,321447,1.244373100386689,"10,526,000,000",32746
Bahamas,2009,6,327813,1.830311793614042,"9,981,960,000",30450
Bahamas,2010,10,333869,2.9951867349169885,"10,095,760,000",30239
Bahrain,1997,0,529754,0.0,"6,349,202,394",11985
Bahrain,1998,0,546008,0.0,"6,183,776,596",11325
Bahrain,1999,17,565762,3.004797070146104,"6,621,010,372",11703
Bahrain,2000,29,590594,4.910310636410123,"9,062,906,915",15345
Bahrain,2001,23,624083,3.6854072294871036,"8,976,207,713",14383
Bahrain,2002,25,661010,3.782091042495575,"9,632,155,053",14572
Bahrain,2003,34,702913,4.837013969011812,"11,074,822,074",15756
Bahrain,2004,42,751559,5.588383613262565,"13,150,166,755",17497
Bahrain,2005,42,819540,5.1248261219708615,"15,968,726,862",19485
Bahrain,2006,28,888543,3.151226220903209,"18,505,053,191",20826
Bahrain,2007,40,964770,4.146065901717508,"21,730,000,000",22524
Bahrain,2008,43,1024110,4.198767710499848,"25,710,877,660",25106
Bahrain,2009,36,1092922,3.29392216461925,"22,938,218,085",20988
Bahrain,2010,19,1139160,1.6678956424031743,"25,713,271,277",22572
Barbados,1991,17,237000,7.172995780590718,"2,007,109,829",8469
Barbados,1992,14,240000,5.833333333333333,"1,950,900,000",8129
Barbados,1993,16,239600,6.67779632721202,"2,046,189,032",8540
Barbados,1994,14,240300,5.826050769870995,"2,151,295,182",8953
Barbados,1995,17,241200,7.048092868988391,"2,261,969,870",9378
Barbados,2000,10,251133,3.9819537854443663,"3,121,500,000",12430
Barbados,2001,2,252406,0.7923741907878576,"3,116,650,000",12348
Barbados,2002,0,253353,0.0,"3,169,600,000",12511
Barbados,2003,0,254122,0.0,"3,274,850,000",12887
Barbados,2004,3,254925,1.1768167107972933,"3,514,350,000",13786
Barbados,2005,1,255889,0.39079444602933305,"3,897,300,000",15230
Barbados,2006,9,256883,3.5035405223389637,"4,246,600,000",16531
Barbados,2007,0,258083,0.0,"4,523,750,000",17528
Barbados,2008,1,259414,0.385484206712051,"4,607,300,000",17760
Barbados,2009,5,260718,1.9177808973680375,"4,434,050,000",17007
Barbados,2010,3,261927,1.1453572942079282,"4,461,650,000",17034
Belarus,1991,2169,9476200,22.888921719676663,"18,000,000,000",1899
Belarus,1992,2424,9570900,25.326771776948878,"17,037,037,037",1780
Belarus,1993,2885,9641100,29.92397133107218,"16,280,991,736",1689
Belarus,1994,3153,9653900,32.66037559949865,"14,932,024,169",1547
Belarus,1995,3203,9673600,33.11073436983129,"13,972,676,841",1444
Belarus,1996,3627,9684800,37.4504377994383,"14,756,846,154",1524
Belarus,1997,3526,9692100,36.380144653893375,"14,128,408,566",1458
Belarus,1998,3556,9694800,36.67945702851013,"15,222,012,660",1570
Belarus,1999,3397,9563200,35.52158273381295,"12,138,486,532",1269
